[2017-02-12 12:54:00] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 12:54:02] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:34] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:35] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:37] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:37] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:41] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:42] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:47] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:48] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:55] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
[2017-02-12 13:02:56] grav.CRITICAL: PHP Startup: Unable to load dynamic library '/usr/lib/php5/20121212/apc.so' - /usr/lib/php5/20121212/apc.so: cannot open shared object file: No such file or directory - Trace: #0 /var/www/grav-admin/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(32, 'PHP Startup: Un...', 'Unknown', 0) #1 [internal function]: Whoops\Run->handleShutdown() #2 {main} [] []
